iter	RMSE
0	266725.2008
1	251222.7426
2	237773.6836
3	225493.7067
4	215132.1787
5	206025.4936
6	197696.0913
7	190600.3095
8	184464.3672
9	179169.6795
10	174553.9813
11	170532.7673
12	167023.2437
13	164157.0528
14	161632.7132
15	159394.2978
16	157453.3458
17	155835.1546
18	154372.0085
19	153042.9813
20	151916.3265
21	150902.5282
22	149982.2982
23	149035.6059
24	148321.7062
25	147701.505
26	147123.0082
27	146602.2233
28	146036.8493
29	145540.7941
30	145118.7495
31	144612.3824
32	144274.7006
33	143847.9355
34	143542.1412
35	143176.3818
36	142899.8549
37	142678.474
38	142496.1676
39	142283.5517
40	141988.6087
41	141838.9749
42	141576.8656
43	141391.7926
44	141090.5804
45	140978.6616
46	140846.7379
47	140699.7101
48	140594.4124
49	140485.1629
50	140276.9883
51	140098.0123
52	139962.8045
53	139794.1941
54	139681.6061
55	139612.7312
56	139440.7876
57	139337.4423
58	139231.9629
59	139175.4507
60	139016.7197
61	138918.3233
62	138765.3984
63	138648.1034
64	138515.7795
65	138411.5006
66	138353.3337
67	138296.1505
68	138190.1012
69	138120.7724
70	138088.6289
71	138013.9701
72	137964.4148
73	137891.0042
74	137824.153
75	137743.9219
76	137642.0019
77	137567.7252
78	137472.6212
79	137402.3576
80	137271.2297
81	137215.4748
82	137160.8228
83	137088.8693
84	137019.1784
85	136953.6446
86	136889.4915
87	136849.1179
88	136809.5697
89	136753.1659
90	136528.1837
91	136437.8848
92	136396.3182
93	136296.5921
94	136240.3242
95	136168.1085
96	136143.8697
97	136057.7581
98	136019.331
99	135909.26
100	135860.3246
101	135740.0356
102	135716.1955
103	135671.4592
104	135646.1857
105	135602.5566
106	135538.2115
107	135490.6774
108	135389.241
109	135375.2317
110	135285.803
111	135244.3427
112	135055.4108
113	135040.2764
114	134970.6365
115	134934.1596
116	134901.4183
117	134849.4922
118	134800.2573
119	134666.6885
120	134641.1571
121	134590.0806
122	134560.695
123	134527.5643
124	134478.9886
125	134422.942
126	134406.6801
127	134368.1824
128	134337.1369
129	134208.8862
130	134152.477
131	134133.4158
132	134035.8127
133	133879.2777
134	133791.3125
135	133730.9684
136	133685.9022
137	133572.4959
138	133515.2089
139	133459.0597
140	133358.6123
141	133231.3703
142	133138.2184
143	133106.8692
144	133092.5999
145	133040.2073
146	132979.4175
147	132868.696
148	132865.7581
149	132750.9533
150	132631.4654
151	132597.8674
152	132477.0649
153	132374.4091
154	132289.6861
155	132239.0967
156	132198.6588
157	132160.188
158	132126.6995
159	132010.2755
160	131973.9659
161	131940.8492
162	131842.2245
163	131808.846
164	131760.9669
165	131728.7277
166	131677.4296
167	131622.9798
168	131580.0082
169	131534.5877
170	131499.9604
171	131385.8227
172	131375.5637
173	131333.4672
174	131274.9099
175	131236.1787
176	131169.4602
177	131061.0745
178	131018.5828
179	130974.8439
180	130948.4173
181	130899.3493
182	130847.8242
183	130786.0174
184	130706.0931
185	130663.2939
186	130641.8066
187	130557.0198
188	130502.8927
189	130464.5849
190	130443.1698
191	130421.0422
192	130326.1431
193	130293.8926
194	130240.254
195	130191.5698
196	130187.2584
197	130145.229
198	130113.4273
199	130080.883
200	130017.7813
201	129973.9591
202	129924.2459
203	129894.6011
204	129834.7261
205	129807.3707
206	129770.4408
207	129718.2456
208	129699.8304
209	129666.7682
210	129644.3795
211	129614.152
212	129577.8004
213	129549.7595
214	129510.2345
215	129467.1492
216	129418.134
217	129311.4824
218	129263.5043
219	129214.6026
