iter	Passed	Remaining
0	36	36487
1	71	35577
2	100	33507
3	133	33132
4	165	32840
5	195	32470
6	226	32089
7	255	31688
8	289	31865
9	321	31847
10	357	32174
11	392	32323
12	424	32198
13	456	32135
14	492	32331
15	528	32486
16	567	32803
17	601	32826
18	635	32794
19	669	32790
20	707	32972
21	738	32839
22	777	33038
23	819	33312
24	851	33227
25	889	33306
26	924	33334
27	967	33576
28	1003	33599
29	1043	33751
30	1091	34109
31	1132	34245
32	1168	34228
33	1207	34315
34	1239	34186
35	1272	34084
36	1301	33873
37	1335	33813
38	1367	33698
39	1394	33479
40	1424	33308
41	1454	33173
42	1481	32971
43	1509	32787
44	1540	32686
45	1570	32564
46	1598	32404
47	1629	32318
48	1662	32272
49	1694	32196
50	1728	32160
51	1757	32047
52	1789	31973
53	1821	31916
54	1856	31890
55	1887	31822
56	1919	31752
57	1947	31637
58	1979	31576
59	2009	31483
60	2041	31431
61	2073	31377
62	2104	31303
63	2138	31270
64	2172	31252
65	2211	31296
66	2248	31317
67	2363	32389
68	2407	32479
69	2438	32401
70	2469	32317
71	2501	32236
72	2527	32098
73	2556	31987
74	2582	31852
75	2605	31683
76	2643	31685
77	2672	31585
78	2712	31625
79	2749	31621
80	2774	31484
81	2802	31378
82	2834	31312
83	2863	31230
84	2895	31172
85	2923	31067
86	2951	30978
87	2979	30876
88	3007	30781
89	3039	30736
90	3069	30664
91	3100	30603
92	3130	30534
93	3160	30462
94	3194	30433
95	3229	30412
96	3268	30424
97	3301	30387
98	3337	30371
99	3371	30342
100	3405	30313
101	3436	30255
102	3473	30248
103	3502	30171
104	3533	30122
105	3566	30082
106	3597	30022
107	3629	29979
108	3663	29946
109	3696	29904
110	3727	29853
111	3760	29813
112	3793	29779
113	3828	29755
114	3861	29714
115	3894	29676
116	3927	29644
117	3961	29606
118	3993	29567
119	4025	29518
120	4058	29481
121	4087	29418
122	4113	29330
123	4144	29276
124	4174	29222
125	4202	29153
126	4229	29070
127	4260	29025
128	4289	28964
129	4321	28919
130	4352	28871
131	4379	28800
132	4408	28740
133	4440	28700
134	4471	28650
135	4502	28605
136	4533	28559
137	4559	28483
138	4588	28423
139	4615	28352
140	4647	28313
141	4674	28244
142	4702	28182
143	4731	28128
144	4758	28060
145	4786	27999
146	4816	27946
147	4846	27901
148	4876	27850
149	4903	27788
150	4932	27732
151	4964	27697
152	4998	27669
153	5032	27646
154	5065	27614
155	5102	27604
156	5136	27579
157	5167	27536
158	5197	27491
159	5226	27440
160	5254	27382
161	5282	27327
162	5311	27276
163	5340	27221
164	5375	27203
165	5402	27142
166	5433	27104
167	5467	27079
168	5500	27046
169	5528	26993
170	5557	26944
171	5588	26901
172	5617	26852
173	5648	26813
174	5680	26779
175	5707	26721
176	5739	26687
177	5770	26648
178	5796	26587
179	5825	26537
180	5855	26494
181	5883	26442
182	5916	26412
183	5952	26396
184	5994	26408
185	6024	26363
186	6054	26320
187	6080	26262
188	6109	26218
189	6139	26174
190	6171	26141
191	6201	26097
192	6234	26066
193	6274	26066
194	6303	26020
195	6332	25974
196	6360	25926
197	6389	25882
198	6419	25839
199	6445	25781
200	6474	25737
201	6504	25696
202	6533	25650
203	6559	25595
204	6587	25545
205	6619	25512
206	6648	25471
207	6681	25442
208	6710	25396
209	6738	25347
210	6772	25323
211	6804	25292
212	6831	25242
213	6861	25202
214	6889	25153
215	6918	25112
216	6952	25085
217	6980	25039
218	7008	24994
219	7036	24948
220	7067	24913
221	7102	24891
222	7132	24851
223	7161	24807
224	7191	24769
225	7219	24726
226	7247	24680
227	7276	24639
228	7304	24593
