iter	Logloss
0	0.6882450324
1	0.6839748342
2	0.6795797094
3	0.6752009322
4	0.6712758281
5	0.6676145486
6	0.664657601
7	0.6615814035
8	0.6581949596
9	0.6557488871
10	0.6527519545
11	0.649988953
12	0.6473890417
13	0.6451640968
14	0.6427661095
15	0.6408488949
16	0.6388745321
17	0.6369932763
18	0.635365035
19	0.634181
20	0.6329806412
21	0.6317418061
22	0.6301886032
23	0.6288148255
24	0.6276584025
25	0.626695733
26	0.6256118762
27	0.6246956619
28	0.6239698953
29	0.6226790891
30	0.6218045731
31	0.6205402138
32	0.6198386247
33	0.618773163
34	0.6180979375
35	0.6174648912
36	0.6164352616
37	0.6158801467
38	0.6151709865
39	0.6144061674
40	0.6136328296
41	0.6126678911
42	0.6121317434
43	0.6116717298
44	0.6112985447
45	0.6107794628
46	0.6103690857
47	0.6098419652
48	0.6093667543
49	0.6084975183
50	0.6080402184
51	0.607388117
52	0.6070276237
53	0.6064425147
54	0.6058249432
55	0.6056456433
56	0.605276081
57	0.6048636175
58	0.6045311514
59	0.6042280269
60	0.6039440835
61	0.6036456194
62	0.6033720829
63	0.6030077453
64	0.6028493084
65	0.6023249614
66	0.6019949744
67	0.6017628448
68	0.6014377751
69	0.6011948796
70	0.6008660754
71	0.6005562233
72	0.6002495791
73	0.5999603435
74	0.5994708229
75	0.5991776055
76	0.5987470078
77	0.5984207528
78	0.5981657381
79	0.5976973274
80	0.5975326979
81	0.5971634138
82	0.596894458
83	0.5963290655
84	0.5960698662
85	0.5957100292
86	0.5953885783
87	0.5950110988
88	0.5946778973
89	0.5944929308
90	0.5942607127
91	0.5939311488
92	0.5937837714
93	0.5935944659
94	0.5934213629
95	0.5931802579
96	0.5929687826
97	0.5928153524
98	0.5925836169
99	0.5924416602
100	0.5920854907
101	0.5918787227
102	0.5915853632
103	0.5913711723
104	0.5912712848
105	0.5910873701
106	0.5908296002
107	0.5907227388
108	0.5905786907
109	0.5903993476
110	0.5901448058
111	0.5898630362
112	0.5895597803
113	0.5892342897
114	0.5889548203
115	0.5887576562
116	0.588539299
117	0.5880175558
118	0.5877969611
119	0.5876192562
120	0.5874907333
121	0.5871801213
122	0.5871005211
123	0.5867584298
124	0.5866659474
125	0.5864990028
126	0.5863820052
127	0.5861833783
128	0.5859436206
129	0.5857390411
130	0.5854870403
131	0.5852748823
132	0.5851929165
133	0.5849641049
134	0.5848602501
135	0.5846780501
136	0.5844436811
137	0.5842858178
138	0.5839804758
139	0.5838607921
140	0.5838015842
141	0.5834869199
142	0.5833488726
143	0.583229547
144	0.5830388318
145	0.5828660798
146	0.58270767
147	0.582490792
148	0.5823880405
149	0.5823071554
