iter	Passed	Remaining
0	8	8122
1	17	8630
2	23	7975
3	33	8241
4	42	8367
5	51	8570
6	61	8770
7	69	8663
8	79	8734
9	86	8603
10	97	8747
11	105	8684
12	116	8864
13	127	8971
14	134	8862
15	144	8895
16	152	8837
17	163	8946
18	172	8882
19	181	8892
20	191	8939
21	199	8867
22	209	8897
23	218	8887
24	230	8986
25	240	8998
26	248	8968
27	258	8976
28	266	8921
29	276	8945
30	285	8913
31	294	8919
32	303	8881
33	312	8888
34	322	8890
35	331	8876
36	342	8926
37	350	8881
38	360	8875
39	371	8908
40	382	8946
41	396	9034
42	411	9161
43	425	9234
44	440	9341
45	461	9578
46	476	9667
47	490	9724
48	499	9693
49	511	9722
50	525	9779
51	537	9794
52	546	9770
53	557	9764
54	567	9756
55	577	9731
56	589	9752
57	600	9748
58	610	9734
59	624	9790
60	637	9812
61	649	9823
62	658	9793
63	672	9839
64	687	9892
65	704	9969
66	718	10001
67	727	9971
68	737	9957
69	748	9944
70	756	9902
71	768	9902
72	776	9863
73	787	9851
74	797	9839
75	806	9809
76	816	9786
77	824	9748
78	835	9742
79	847	9741
80	856	9714
81	866	9703
82	879	9716
83	889	9698
84	903	9726
85	917	9747
86	934	9803
87	954	9892
88	968	9908
89	981	9924
90	993	9921
91	1005	9919
92	1028	10034
93	1054	10161
94	1078	10278
95	1105	10406
96	1133	10548
97	1160	10678
98	1181	10755
99	1211	10905
100	1257	11196
101	1300	11447
102	1348	11742
103	1408	12131
104	1480	12618
105	1499	12642
106	1515	12648
107	1558	12868
108	1573	12865
109	1589	12858
110	1602	12838
111	1614	12798
112	1627	12773
113	1640	12749
114	1654	12735
115	1665	12694
116	1679	12674
117	1692	12653
118	1706	12632
119	1720	12613
120	1732	12582
121	1744	12552
122	1756	12525
123	1769	12501
124	1780	12464
125	1791	12424
126	1803	12398
127	1817	12382
128	1827	12337
129	1839	12310
130	1852	12291
131	1867	12279
132	1882	12269
133	1892	12230
134	1905	12211
135	1918	12187
136	1931	12165
137	1945	12151
138	1957	12124
139	1970	12102
140	1983	12084
141	2001	12091
142	2015	12076
143	2025	12038
144	2036	12009
145	2050	11992
146	2063	11976
147	2073	11937
148	2089	11933
149	2101	11909
150	2113	11883
